"guideline","version","file_desc","type","host","method","site","mo","rank_index","ab","disk_dose","breakpoint_S","breakpoint_R","note","sheet"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"S. aureus and coagulase-negative staphylococci other than S. epidermidis",NA,"Cefoxitin (screen only)","30 mcg","22","22","[A] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F. | [B] If coagulase-negative staphylococci are not identified to species level, use zone diameter breakpoints S≥25, R<25 mm.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"S. epidermidis",NA,"Cefoxitin (screen only)",NA,"Note","Note","[4] For staphylococci other than S. aureus, S. lugdunensis and S. saprophyticus, the cefoxitin MIC is a poorer predictor of methicillin resistance than the disk diffusion test.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"S. epidermidis",NA,"Cefoxitin (screen only)","30 mcg","25","25","[A] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F. | [B] If coagulase-negative staphylococci are not identified to species level, use zone diameter breakpoints S≥25, R<25 mm.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"S. pseudintermedius and S. schleiferi",NA,"Cefoxitin (screen only)",NA,"Note","Note","[5] In S. pseudintermedius and S. schleiferi the cefoxitin disk is less predictive for the detection of methicillin resistance than in other staphylococci. Use the oxacillin 1 µg disk with zone diameter breakpoints S≥20, R<20 mm.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"S. pseudintermedius and S. schleiferi",NA,"Cefoxitin (screen only)",NA,"Note","Note","[C] In S. pseudintermedius and S. schleiferi the cefoxitin disk is less predictive for the detection of methicillin resistance than in other staphylococci. Use the oxacillin 1 µg disk with zone diameter breakpoints S≥20, R<20 mm.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Cefpodoxime",NA,"Note","Note","[1] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Cefpodoxime",NA,"Note","Note","[A] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"S. aureus",NA,"Ceftaroline(indications other than pneumonia)",NA,"1","2","[6] Methicillin-susceptible isolates can be reported susceptible to ceftaroline without further testing.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"S. aureus",NA,"Ceftaroline(indications other than pneumonia)","5 mcg","20","17","[D] Methicillin-susceptible isolates can be reported susceptible to ceftaroline without further testing.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"S. aureus",NA,"Ceftaroline (pneumonia)",NA,"1","1","[6] Methicillin-susceptible isolates can be reported susceptible to ceftaroline without further testing.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"S. aureus",NA,"Ceftaroline (pneumonia)","5 mcg","20","20","[D] Methicillin-susceptible isolates can be reported susceptible to ceftaroline without further testing.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"S. aureus",NA,"Ceftobiprole",NA,"2","2","[8] Methicillin-susceptible isolates can be reported susceptible to ceftobiprole without further testing.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"S. aureus",NA,"Ceftobiprole","5 mcg","17","17","[F] Methicillin-susceptible isolates can be reported susceptible to ceftobiprole without further testing.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Ceftriaxone",NA,"Note","Note","[1] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F. | [2] See table of dosages.
3.S. aureus and S. lugdunensis with cefoxitin MIC values >4 mg/L and S. saprophyticus with cefoxitin MIC values >8 mg/L are methicillin resistant, mostly due to the presence of the mecA or mecC gene. Disk diffusion reliably predicts methicillin resistance.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Ceftriaxone",NA,"Note","Note","[A] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F. | [2] See table of dosages.
3.S. aureus and S. lugdunensis with cefoxitin MIC values >4 mg/L and S. saprophyticus with cefoxitin MIC values >8 mg/L are methicillin resistant, mostly due to the presence of the mecA or mecC gene. Disk diffusion reliably predicts methicillin resistance.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Cefuroxime iv",NA,"Note","Note","[1] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Cefuroxime iv",NA,"Note","Note","[A] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Cefuroxime oral",NA,"Note","Note","[1] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Cefuroxime oral",NA,"Note","Note","[A] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
