"fullname"	"fullname_new"	"ref"	"prevalence"
"Albugo hydrocotyles"	"Pustula hydrocotyles"	"Petr, 1955"	3
"Albugo occidentalis"	"Wilsoniana occidentalis"	"Wilson, 1907"	3
"Albugo platensis"	"Wilsoniana platensis"	"Swingle, 1892"	3
"Albugo portulacae"	"Wilsoniana portulacae"	"Kuntze, 1891"	3
"Albugo swertiae"	"Pustula swertiae"	"Wilson, 1907"	3
"Albugo tragopogonis"	"Pustula tragopogonis"	"Gray, 1821"	3
"Alcaligenes aestus"	"Halomonas aquamarina"	"Baumann et al., 1972"	1
"Alcaligenes aquamarinus"	"Halomonas aquamarina"	"Hendrie et al., 1974"	1
"Alcaligenes cupidus"	"Halomonas cupida"	"Baumann et al., 1972"	1
"Alcaligenes defragrans"	"Castellaniella defragrans"	"Foss et al., 1998"	2
"Alcaligenes denitrificans"	"Achromobacter denitrificans"	"Ruger et al., 1983"	2
"Alcaligenes denitrificans xylosoxydans"	"Achromobacter xylosoxidans"	"Kersters et al., 1984"	2
"Alcaligenes eutrophus"	"Cupriavidus necator"	"Davis, 1969"	2
"Alcaligenes eutrophus"	"Wautersia eutropha"	"Davis, 1969"	2
"Alcaligenes faecalis homari"	"Halomonas aquamarina"	"Austin et al., 1981"	1
"Alcaligenes latus"	"Azohydromonas lata"	"Palleroni et al., 1978"	2
"Alcaligenes pacificus"	"Halomonas pacifica"	"Corrig Baumann et al., 1972"	1
"Alcaligenes pacifus"	"Halomonas pacifica"	"Baumann et al., 1972"	1
"Alcaligenes paradoxus"	"Variovorax paradoxus"	"Davis, 1969"	2
"Alcaligenes piechaudii"	"Achromobacter piechaudii"	"Kiredjian et al., 1986"	2
"Alcaligenes ruhlandii"	"Achromobacter ruhlandii"	"Aragno et al., 1977"	2
"Alcaligenes venustus"	"Halomonas venusta"	"Baumann et al., 1972"	1
"Alcaligenes xylosoxidans"	"Achromobacter xylosoxidans"	"Kiredjian et al., 1986"	2
"Alcaligenes xylosoxidans denitrificans"	"Achromobacter denitrificans"	"Kiredjian et al., 1986"	2
"Alcaligenes xylosoxidans xylosoxidans"	"Achromobacter xylosoxidans"	"Kiredjian et al., 1986"	2
"Alcalilimnicola"	"Alkalilimnicola"	"Yakimov et al., 2001"	1
"Alcalilimnicola halodurans"	"Alkalilimnicola halodurans"	"Yakimov et al., 2001"	1
"Aleurisma albiciscans"	"Atrichophyton albiciscans"	"Dodge, 1935"	3
"Aleurisma dermatitidis"	"Xerochrysium dermatitidis"	"Dodge, 1935"	3
"Alfredosilvestris scalaris"	"Amphicoryna scalaris"	"Batsch, 1791"	3
"Algibacter aestuarii"	"Marinivirga aestuarii"	"Park et al., 2013"	3
"Algibacter alginolytica"	"Algibacter alginicilyticus"	"Sun et al., 2016"	3
"Algibacter wandonensis"	"Algibacter lectus"	"Yoon et al., 2013"	3
"Algicoccus"	"Orrella"	"Ying et al., 2019"	2
"Algicoccus marinus"	"Orrella marina"	"Ying et al., 2019"	2
"Aliarcobacter butzleri"	"Arcobacter butzleri"	"Perez-Cataluna et al., 2020"	2
"Aliarcobacter cibarius"	"Arcobacter cibarius"	"Perez-Cataluna et al., 2020"	2
"Aliarcobacter cryaerophilus"	"Arcobacter cryaerophilus"	"Perez-Cataluna et al., 2020"	2
"Aliarcobacter faecis"	"Arcobacter faecis"	"Perez-Cataluna et al., 2020"	2
"Aliarcobacter lanthieri"	"Arcobacter lanthieri"	"Perez-Cataluna et al., 2020"	2
"Aliarcobacter skirrowii"	"Arcobacter skirrowii"	"Perez-Cataluna et al., 2020"	2
"Aliarcobacter thereius"	"Arcobacter thereius"	"Perez-Cataluna et al., 2020"	2
"Aliarcobacter trophiarum"	"Arcobacter trophiarum"	"Perez-Cataluna et al., 2020"	2
"Alicyclobacillus consociatus"	"Effusibacillus consociatus"	"Glaeser et al., 2013"	2
"Alicyclobacillus pohliae"	"Effusibacillus pohliae"	"Imperio et al., 2008"	2
"Alkalibacter ferment"	"Alkalibacter saccharofermentans"	"Garnova et al., 2005"	2
"Alkalibacterium olivoapovliticus"	"Alkalibacterium olivapovliticus"	"Ntougias et al., 2001"	2
"Alkalihalobacillus haemicellulosilyticus"	"Alkalihalobacillus hemicellulosilyticus"	"Patel et al., 2020"	2
"Alkalihalobacillus haemicentroti"	"Alkalihalobacillus hemicentroti"	"Patel et al., 2020"	2
"Alkalihalobacillus lehensis"	"Alkalihalobacillus oshimensis"	"Patel et al., 2020"	2
"Alkalihalobacillus plakortidis"	"Alkalihalobacillus oshimensis"	"Patel et al., 2020"	2
"Alkalihalobacillus rhizosphaerae"	"Alkalihalobacillus clausii"	"Patel et al., 2020"	2
"Alkalimicrobium"	"Mameliella"	"Zhang et al., 2015"	2
"Alkalimicrobium pacificum"	"Mameliella alba"	"Zhang et al., 2015"	2
"Alkaliphilus peptidofermentans"	"Alkaliphilus peptidifermentans"	"Zhilina et al., 2009"	2
"Allantosoma dicorniger"	"Arcosoma dicorniger"	"Hsiung, 1928"	3
"Allassoida virgula"	"Stilostomelloides virgula"	"Brady, 1879"	3
"Allelogromia brunnerii"	"Diplogromia brunnerii"	"Blanc, 1896"	3
"Allescheria boydii"	"Pseudallescheria boydii"	"Shear, 1922"	2
"Allewia eureka"	"Alternaria eureka"	"Simmons, 1990"	2
"Allewia proteae"	"Alternaria proteae"	"Simmons, 1990"	2
"Alliatina translucens"	"Robertina translucens"	"Cushman et al., 1936"	3
"Alloactinosynnema"	"Actinokineospora"	"Yuan et al., 2014"	2
"Alloactinosynnema album"	"Actinokineospora alba"	"Yuan et al., 2010"	2
"Alloactinosynnema iranicum"	"Actinokineospora iranica"	"Nikou et al., 2014"	2
"Allogromia crystallifera"	"Psammophaga crystallifera"	"Dahlgren, 1962"	3
"Allomonas"	"Vibrio"	"Kalina et al., 1984"	1
"Allomonas enterica"	"Vibrio fluvialis"	"Kalina et al., 1984"	1
"Allopseudarcicella"	"Aquirufa"	"Kim et al., 2019"	3
"Allopseudarcicella aquatilis"	"Aquirufa nivalisilvae"	"Kim et al., 2019"	3
"Altererythrobacter aerius"	"Tsuneonella aeria"	"Xue et al., 2016"	2
"Altererythrobacter aerophilus"	"Pelagerythrobacter aerophilus"	"Meng et al., 2019"	2
"Altererythrobacter aestiaquae"	"Pontixanthobacter aestiaquae"	"Jung et al., 2014"	2
"Altererythrobacter aestuarii"	"Alteraurantiacibacter aestuarii"	"Park et al., 2011"	2
"Altererythrobacter amylolyticus"	"Tsuneonella amylolytica"	"Qu et al., 2019"	2
"Altererythrobacter aquaemixtae"	"Pontixanthobacter aquaemixtae"	"Park et al., 2017"	2
"Altererythrobacter aquimixticola"	"Alteraurantiacibacter aquimixticola"	"Park et al., 2019"	2
"Altererythrobacter atlanticus"	"Croceibacterium atlanticum"	"Wu et al., 2020"	2
"Altererythrobacter aurantiacus"	"Parapontixanthobacter aurantiacus"	"Zhang et al., 2016"	2
"Altererythrobacter buctense"	"Altererythrobacter buctensis"	"Zhang et al., 2016"	
"Altererythrobacter buctense"	"Alteraurantiacibacter buctensis"	"Zhang et al., 2016"	2
"Altererythrobacter buctensis"	"Alteraurantiacibacter buctensis"	"Zhang et al., 2016"	2
"Altererythrobacter confluentis"	"Pseudopontixanthobacter confluentis"	"Park et al., 2016"	2
"Altererythrobacter dongtanensis"	"Tsuneonella dongtanensis"	"Fan et al., 2011"	2
"Altererythrobacter endophyticus"	"Altericroceibacterium endophyticum"	"Fidalgo et al., 2017"	2
"Altererythrobacter flavus"	"Tsuneonella flava"	"Ma et al., 2018"	2
"Altererythrobacter gangjinensis"	"Pontixanthobacter gangjinensis"	"Jeong et al., 2013"	2
"Altererythrobacter halimionae"	"Alteriqipengyuania halimionae"	"Fidalgo et al., 2017"	2
"Altererythrobacter indicus"	"Altericroceibacterium indicum"	"Ramesh Kumar et al., 2008"	2
"Altererythrobacter luteolus"	"Pontixanthobacter luteolus"	"Kwon et al., 2007"	2
"Altererythrobacter lutipelagi"	"Parerythrobacter lutipelagi"	"Lee, 2019"	2
"Altererythrobacter mangrovi"	"Tsuneonella mangrovi"	"Liao et al., 2017"	2
"Altererythrobacter marensis"	"Pelagerythrobacter marensis"	"Seo et al., 2020"	2
"Altererythrobacter marinus"	"Pelagerythrobacter marinus"	"Lai et al., 2009"	2
"Altererythrobacter maritimus"	"Alteripontixanthobacter maritimus"	"Kang et al., 2019"	2
"Altererythrobacter namhicola"	"Paraurantiacibacter namhicola"	"Park et al., 2020"	2
"Altererythrobacter oceanensis"	"Qipengyuania oceanensis"	"Yang et al., 2015"	2
"Altererythrobacter rhizovicinus"	"Pelagerythrobacter rhizovicinus"	"Li et al., 2020"	2
"Altererythrobacter rigui"	"Tsuneonella rigui"	"Kang et al., 2016"	2
"Altererythrobacter salegens"	"Croceibacterium salegens"	"Liang et al., 2017"	2
"Altererythrobacter sediminis"	"Pseudopontixanthobacter sediminis"	"Kim et al., 2016"	2
"Altererythrobacter soli"	"Croceibacterium soli"	"Zhao et al., 2017"	2
"Altererythrobacter spongiae"	"Altericroceibacterium spongiae"	"Zhuang et al., 2019"	2
"Altererythrobacter troitsensis"	"Tsuneonella troitsensis"	"Nedashkovskaya et al., 2013"	2
"Altererythrobacter xinjiangensis"	"Altericroceibacterium xinjiangense"	"Xue et al., 2012"	2
"Altererythrobacter xixiisoli"	"Croceibacterium xixiisoli"	"Yuan et al., 2017"	2
"Alteromonas atlantica"	"Pseudoalteromonas atlantica"	"Akagawa-Matsushita et al., 1992"	1
"Alteromonas aurantia"	"Pseudoalteromonas aurantia"	"Gauthier et al., 1979"	1
"Alteromonas carrageenovora"	"Pseudoalteromonas carrageenovora"	"Akagawa-Matsushita et al., 1992"	1
"Alteromonas citrea"	"Pseudoalteromonas citrea"	"Gauthier, 1977"	1
"Alteromonas colwelliana"	"Shewanella colwelliana"	"Weiner et al., 1988"	1
"Alteromonas communis"	"Marinomonas communis"	"Baumann et al., 1972"	1
"Alteromonas denitrificans"	"Pseudoalteromonas denitrificans"	"Enger et al., 1987"	1
"Alteromonas distincta"	"Pseudoalteromonas distincta"	"Romanenko et al., 1995"	1
"Alteromonas elyakovii"	"Pseudoalteromonas elyakovii"	"Ivanova et al., 1997"	1
"Alteromonas elykovii"	"Pseudoalteromonas elyakovii"	"Ivanova et al., 1997"	1
"Alteromonas espejiana"	"Pseudoalteromonas espejiana"	"Chan et al., 1978"	1
"Alteromonas fuliginea"	"Pseudoalteromonas fuliginea"	"Romanenko et al., 1995"	1
"Alteromonas haloplanktis"	"Pseudoalteromonas haloplanktis"	"Reichelt et al., 1973"	1
"Alteromonas hanedai"	"Shewanella hanedai"	"Jensen et al., 1981"	1
"Alteromonas indica"	"Salinimonas sediminis"	"Lin et al., 2018"	1
"Alteromonas luteoviolacea"	"Pseudoalteromonas luteoviolacea"	"Gauthier, 1982"	1
"Alteromonas putrefaciens"	"Shewanella putrefaciens"	"Lee et al., 1981"	1
"Alteromonas rubra"	"Pseudoalteromonas rubra"	"Gauthier, 1976"	1
"Alteromonas tetraodonis"	"Pseudoalteromonas tetraodonis"	"Simidu et al., 1990"	1
"Alteromonas undina"	"Pseudoalteromonas undina"	"Chan et al., 1978"	1
"Alteromonas vaga"	"Oceanospirillum vagum"	"Baumann et al., 1972"	1
"Alveolina melo"	"Borelis melo"	"Fichtel et al., 1798"	3
"Alveolina pulchra"	"Borelis pulchra"	"DOrbigny, 1839"	3
"Alveolophragmium canariensis"	"Haplophragmoides canariensis"	"DOrbigny, 1839"	3
"Alveolophragmium columbiensis"	"Labrospira columbiensis"	"Cushman, 1925"	3
"Alveolophragmium jeffreysii"	"Cribrostomoides jeffreysii"	"Williamson, 1858"	3
"Alveolophragmium ringens"	"Buzasina ringens"	"Brady, 1879"	3
"Alveolophragmium venezuelanum"	"Reticulophragmium venezuelanum"	"Maync, 1952"	3
"Alveolophragmium wiesneri"	"Veleroninoides wiesneri"	"Parr, 1950"	3
"Alveophragmium wiesneri"	"Veleroninoides wiesneri"	"Parr, 1950"	3
"Alysidium cuboideum"	"Scytalidium cuboideum"	"Pound et al., 1896"	2
"Alysidium cucumeris"	"Gabarnaudia cucumeris"	"Pound et al., 1896"	3
"Alysidium hyalinulum"	"Acremonium hyalinulum"	"Pound et al., 1896"	2
"Alysidium longisporum"	"Acremonium longisporum"	"Kuntze, 1898"	2
"Amaurascopsis reticulata"	"Mallochia reticulata"	"Guarro et al., 1992"	3
"Amblyospora egypti"	"Pleistophora egypti"	"Darwish et al., 1991"	3
"Amblyospora trichostegiae"	"Systenostrema trichostegiae"	"Hazard et al., 1975"	3
"Amblyospora trinus"	"Intrapredatorus trinus"	"Becnel et al., 1990"	3
"Ambrosiella ferruginea"	"Phialophoropsis ferruginea"	"Batra, 1968"	3
"Ameson nelsoni"	"Perezia nelsoni"	"Sprague, 1977"	3
"Amietia prolifera"	"Amieta prolifera"	"Ngassam in Puytorac, 1994"	3
"Aminicella lysinolytica"	"Aminicella lysinilytica"	"Ueki et al., 2015"	2
"Aminocella"	"Aminicella"	"Ueki et al., 2015"	2
"Aminocella lysinolytica"	"Aminicella lysinilytica"	"Ueki et al., 2015"	2
"Ammobaculites cassis"	"Ammotium cassis"	"Parker, 1870"	3
"Ammobaculites foliaceus"	"Eratidus foliaceus"	"Brady, 1881"	3
"Ammobaculites morenoi"	"Ammotium morenoi"	"Acosta, 1940"	3
"Ammobaculites pseudocassis"	"Ammotium pseudocassis"	"Cushman et al., 1948"	3
"Ammobaculites tenuimargo"	"Ammoscalaria tenuimargo"	"Brady, 1882"	3
"Ammochilostoma pauciloculata"	"Cystammina pauciloculata"	"Brady, 1879"	3
"Ammodiscoides catinus"	"Arenoturrispirillina catinus"	"Hoglund, 1947"	3
"Ammodiscus catinus"	"Arenoturrispirillina catinus"	"Hoglund, 1947"	3
"Ammodiscus gordialis"	"Glomospira gordialis"	"Jones et al., 1860"	3
"Ammofrondicularia compressa"	"Ammoscalaria compressa"	"Cushman et al., 1939"	3
"Ammoglobigerina pusilla"	"Trochamminopsis pusilla"	"Hoglund, 1947"	3
"Ammoglobigerinoides dehiscens"	"Pseudotrochammina dehiscens"	"Frerichs, 1969"	3
"Ammomarginulina foliaceus"	"Eratidus foliaceus"	"Brady, 1881"	3
"Ammomarginulina tenuimargo"	"Ammoscalaria tenuimargo"	"Brady, 1882"	3
"Ammonia annectens"	"Rotalidium annectens"	"Parker et al., 1865"	3
"Ammonia compressiuscula"	"Rotalinoides compressiuscula"	"Brady, 1884"	3
"Ammonia globosa"	"Murrayinella globosa"	"Millett, 1903"	3
"Ammonia perlucida"	"Aubignyna perlucida"	"Heron-Allen et al., 1913"	3
"Ammonia schroeteriana"	"Pseudorotalia schroeteriana"	"Parker et al., 1862"	3
"Ammonia whittakeri"	"Helenina whittakeri"	"Bhatia, 1985"	3
"Ammopemphix lacustris"	"Lacustrinella lacustris"	"Haman et al., 1985"	3
"Amoebobacter"	"Thiocapsa"	"Guyoneaud et al., 1998"	1
"Amoebobacter pedioformis"	"Thiolamprovum pedioforme"	"Eichler et al., 1987"	1
"Amoebobacter pendens"	"Thiocapsa pendens"	"Pfennig et al., 1971"	1
"Amoebobacter purpureus"	"Lamprocystis purpurea"	"Eichler et al., 1989"	1
"Amoebobacter roseus"	"Thiocapsa rosea"	"Winogradsky, 1888"	1
"Amorphosporangium"	"Actinoplanes"	"Couch, 1963"	2
"Amorphosporangium auranticolor"	"Actinoplanes auranticolor"	"Couch, 1963"	2
"Amorphosporangium globisporum"	"Actinoplanes globisporus"	"Thiemann, 1967"	2
"Amphiamblys laubieri"	"Desportesia laubieri"	"Desp et al., 1979"	3
"Amphibacillus fermentum"	"Pelagirhabdus fermentum"	"Zhilina et al., 2002"	2
"Amphichorda felina"	"Beauveria felina"	"Fr, 1825"	2
"Amphicoryna catesbyi"	"Pyramidulina catesbyi"	"DOrbigny, 1839"	3
"Amphicoryna pauciloculata"	"Alfredosilvestris pauciloculata"	"Cushman, 1917"	3
"Amphicoryne camachoi"	"Amphicoryna camachoi"	"Andersen, 1961"	3
"Amphicoryne glabra"	"Amphicoryna glabra"	"Millett, 1903"	3
"Amphicoryne parasitica"	"Amphicoryna parasitica"	"Schlumberger, 1892"	3
"Amphicoryne roedereri"	"Amphicoryna roedereri"	"Andersen, 1961"	3
"Amphidinium cryophilum"	"Gymnodinium cryophilum"	"Wedemayer et al., 1982"	3
"Amphileptus claparedii"	"Apoamphileptus claparedii"	"Stein, 1867"	3
"Amphileptus fusidens"	"Hemiophrys fusidens"	"Kahl, 1926"	3
"Amphileptus gigas"	"Monomacrocaryon gigas"	"Claparede et al., 1859"	3
"Amphileptus gutta"	"Orthodonella gutta"	"Cohn, 1866"	3
"Amphileptus margaritifer"	"Dileptus margaritifer"	"Ehrenberg, 1834"	3
"Amphileptus ovum"	"Trachelius ovum"	"Ehrenberg"	3
"Amphileptus trachelioides"	"Pelagodileptus trachelioides"	"Awerinzew, 1908"	3
"Amphileptus viridis"	"Dileptus viridis"	"Buitkamp, 1977"	3
"Amphilonche (Amphilonchidium) hydrotomica"	"Amphiblone hydrotomica"	"Haeckel, 1887"	3
"Amphilonche biformis"	"Heteracon biformis"	"Popofsky, 1904"	3
"Amphiprora alata"	"Entomoneis alata"	"Kutz"	3
"Amphiprora calumetica"	"Amphora calumetica"	"Thomas in B W Thomas et al."	3
"Amphiprora ornata"	"Entomoneis ornata"	"Bail"	3
"Amphiprora paludosa"	"Entomoneis paludosa"	"Sm"	3
"Amphipyndax durisaeptum"	"Pseudoristola durisaeptum"	"Aita, 1987"	3
"Amphipyndax epiplatys"	"Windalia epiplatys"	"Renz, 1974"	3
"Amphipyndax tsunoensis"	"Pseudoristola tsunoensis"	"Aita, 1987"	3
"Amphisia diademata"	"Holosticha diademata"	"Rees, 1884"	3
"Amphisia gibba"	"Holosticha gibba"	"Sterki, 1878"	3
"Amphisiella acuta"	"Paramphisiella acuta"	"Foissner, 1982"	3
"Amphisiella antarctica"	"Caudiamphisiella antarctica"	"Wilbert et al., 2005"	3
"Amphisiella edaphoni"	"Lamtostylides edaphoni"	"Eigner, 1999"	3
"Amphisiella elegans"	"Lamtostyla elegans"	"Foissner et al., 2002"	3
"Amphisiella longiseries"	"Uroleptoides longiseries"	"Foissner et al., 2002"	3
"Amphisiella namibiensis"	"Bistichella namibiensis"	"Foissner et al., 2002"	3
"Amphisiella procera"	"Lamtostyla procera"	"Foissner et al., 2002"	3
"Amphisiella quadrinucleata"	"Lamtostyla quadrinucleata"	"Berger et al., 1989"	3
"Amphisiella raptans"	"Uroleptoides raptans"	"Buitkamp et al., 1974"	3
"Amphisiella terricola"	"Uroleptoides terricola"	"Gellert, 1955"	3
"Amphisiella vitiphila"	"Lamtostyla vitiphila"	"Foissner, 1988"	3
"Amphisiellides illuvialis"	"Nudiamphisiella illuvialis"	"Eigner et al., 1994"	3
"Amphisphaeria megalotheca"	"Leptosphaeria megalotheca"	"Theiss, 1912"	2
"Amphisphaeria petrucciana"	"Nectria petrucciana"	"Caldesi et al., 1863"	2
"Amphistegina cumingii"	"Operculinella cumingii"	"Carpenter, 1860"	3
"Amphitropis ornata"	"Entomoneis ornata"	"Grunow"	3
"Amphorella (Fusillus) tuberculata"	"Amphorella tuberculata"	"Lowe, 1852"	3
"Amphorella norvegica"	"Acanthostomella norvegica"	"Daday, 1887"	3
"Amphorina distorta"	"Lagena distorta"	"Seguenza, 1862"	3
"Amphorina lyellii"	"Lagena lyellii"	"Seguenza, 1862"	3
"Amphorina purii"	"Procerolagena purii"	"Andersen, 1961"	3
"Ampullariella"	"Actinoplanes"	"Couch, 1964"	2
"Ampullariella campanulata"	"Actinoplanes campanulatus"	"Couch, 1964"	2
"Ampullariella digitata"	"Actinoplanes digitatis"	"Couch, 1964"	2
"Ampullariella lobata"	"Actinoplanes lobatus"	"Couch, 1964"	2
"Ampullariella regularis"	"Actinoplanes regularis"	"Couch, 1964"	2
"Ampullina acuta"	"Leptosphaeria acuta"	"Quel, 1875"	2
"Ampullina culmifraga"	"Leptosphaeria culmifraga"	"Quel, 1875"	2
"Ampullina doliolum"	"Leptosphaeria doliolum"	"Quel, 1875"	2
"Ampyx brevicauda"	"Pytine brevicauda"	"Wiman, 1905"	3
"Amycolata"	"Pseudonocardia"	"Lechevalier et al., 1986"	2
"Amycolata alni"	"Pseudonocardia alni"	"Evtushenko et al., 1989"	2
"Amycolata autotrophica"	"Pseudonocardia autotrophica"	"Lechevalier et al., 1986"	2
"Amycolata hydrocarbonoxydans"	"Pseudonocardia hydrocarbonoxydans"	"Lechevalier et al., 1986"	2
"Amycolata saturnea"	"Pseudonocardia saturnea"	"Lechevalier et al., 1986"	2
"Amycolatopsis albidoflavus"	"Amycolatopsis albidiflava"	"Lee et al., 2001"	2
"Amycolatopsis eurytherma"	"Amycolatopsis thermoflava"	"Kim et al., 2002"	2
"Amycolatopsis fastidiosa"	"Actinokineospora fastidiosa"	"Henssen et al., 1987"	2
"Amycolatopsis halophila"	"Haloechinothrix halophila"	"Tang et al., 2010"	2
"Amycolatopsis japonicum"	"Amycolatopsis japonica"	"Goodfellow et al., 1997"	2
"Amycolatopsis keratiniphila nogabecina"	"Amycolatopsis keratiniphila"	"Wink et al., 2003"	2
"Amycolatopsis orientalis lurida"	"Amycolatopsis lurida"	"Lechevalier et al., 1986"	2
"Amycolatopsis orientalis orientalis"	"Amycolatopsis orientalis"	"Lechevalier et al., 1986"	2
"Amycolatopsis pithecelloba"	"Amycolatopsis pithecellobii"	"Mingma et al., 2020"	2
"Amycolatopsis rugosa"	"Prauserella rugosa"	"Lechevalier et al., 1986"	2
"Amycolatopsis salitolerans"	"Haloechinothrix salitolerans"	"Guan et al., 2012"	2
"Amycolicicoccus"	"Hoyosella"	"Wang et al., 2010"	2
"Amycolicicoccus subflavus"	"Hoyosella subflava"	"Wang et al., 2010"	2
"Anaeroarcus burkinabensis"	"Anaeroarcus burkinensis"	"Strompl et al., 1999"	2
"Anaerobacillus alkalilacustre"	"Anaerobacillus alkalilacustris"	"Zavarzina et al., 2010"	2
"Anaerobacter"	"Clostridium"	"Duda et al., 1996"	2
"Anaerobacter polyendosporus"	"Clostridium polyendosporum"	"Duda et al., 1996"	2
"Anaerobaculum"	"Acetomicrobium"	"Rees et al., 2012"	3
"Anaerobaculum hydrogeniformans"	"Acetomicrobium hydrogeniformans"	"Maune et al., 2012"	3
"Anaerobaculum mobile"	"Acetomicrobium mobile"	"Menes et al., 2002"	3
"Anaerobaculum thermoterrenum"	"Acetomicrobium thermoterrenum"	"Rees et al., 1997"	3
"Anaerococcus degenerii"	"Anaerococcus degeneri"	"Veloo et al., 2017"	2
"Anaerococcus provenciensis"	"Anaerococcus provencensis"	"Pagnier et al., 2017"	2
"Anaerococcus rubiinfantis"	"Anaerococcus rubeinfantis"	"Tidjani Alou et al., 2017"	2
"Anaerorhabdus furcosus"	"Anaerorhabdus furcosa"	"Shah et al., 1986"	2
"Anaerovibrio burkinabensis"	"Anaeroarcus burkinensis"	"Ouattara et al., 1992"	2
"Anaerovibrio glycerini"	"Anaerosinus glycerini"	"Schauder et al., 1996"	2
"Anaerovibrio lipolytica"	"Anaerovibrio lipolyticus"	"Hungate, 1966"	2
"Anaplasma phagocytophila"	"Anaplasma phagocytophilum"	"Dumler et al., 2001"	2
"Anarma brevis"	"Trichophrya brevis"	"Goodrich et al., 1943"	3
"Anarma multiruga"	"Discophrya multiruga"	"Goodrich et al., 1943"	3
"Andromeda depressa"	"Palinandromeda depressa"	"De Wever et al., 1985"	3
"Anemadesma minuta"	"Aegyriana minuta"	"Jankowski, 1976"	3
"Aneurinibacillus aneurinolyticus"	"Aneurinibacillus aneurinilyticus"	"Shida et al., 1996"	2
"Angiococcus"	"Archangium"	"Hook et al., 2017"	2
"Angiococcus disciformis"	"Archangium disciforme"	"Hook et al., 1980"	2
"Anguillospora angulata"	"Mycocentrospora angulata"	"Redhead et al., 1985"	2
"Angulobracchia cava"	"Paronaella cava"	"Ozvoldova, 1990"	3
"Angulobracchia latifolia"	"Halesium latifolia"	"Steiger, 1992"	3
"Angulogerina (Trifarina) pauciporata"	"Trifarina pauciporata"	"Hofker, 1956"	3
"Angulogerina agrestis"	"Trifarina agrestis"	"Todd, 1948"	3
"Angulogerina albatrossi"	"Trifarina albatrossi"	"Cushman, 1932"	3
"Angulogerina angulosa"	"Trifarina angulosa"	"Williamson, 1858"	3
"Angulogerina bella"	"Trifarina bella"	"Phleger et al., 1951"	3
"Angulogerina borealis"	"Trifarina borealis"	"Saidova, 1975"	3
"Angulogerina carinata"	"Trifarina carinata"	"Cushman, 1927"	3
"Angulogerina earlandi"	"Trifarina earlandi"	"Parr, 1950"	3
"Angulogerina ecuadorensis"	"Trifarina ecuadorensis"	"Hofker, 1956"	3
"Angulogerina elongatastriata"	"Rectuvigerina elongatastriata"	"Colom, 1952"	3
"Angulogerina fijiensis"	"Trifarina fijiensis"	"Cushman, 1931"	3
"Angulogerina fluens"	"Trifarina fluens"	"Todd, 1948"	3
"Angulogerina fornasinii"	"Trifarina fornasinii"	"Selli, 1948"	3
"Angulogerina gracilis"	"Trifarina gracilis"	"Vella, 1957"	3
"Angulogerina hughesi"	"Trifarina hughesi"	"Galloway et al., 1927"	3
"Angulogerina japonica"	"Trifarina japonica"	"Asano, 1938"	3
