"code"	"mo"
"A.CRY"	"B_ARCBC_CRYR"
"A.DEF"	"B_ABTRP_DFCT"
"A.DEL"	"B_ACDVR_DLFL"
"A.DEN"	"B_ACHRMB_DNTR"
"A.EQU"	"B_ACTNB_EQUL_EQUL"
"A.EQUH"	"B_ACTNB_EQUL_HMLY"
"A.FAC"	"B_ACDVR_FCLS"
"A.FAE"	"B_ALCLG_FCLS_FCLS"
"A.FAS"	"B_AERMC_FSTD"
"A.FLA"	"F_ASPRG_FLAVS"
"A.FUM"	"F_ASPRG_MGTS"
"A.HAE"	"B_ACNTB_HMLY"
"A.HIN"	"B_SLMNL_ENTR_ARZN"
"A.HOR"	"B_BCHNN_HRDV"
"A.HYD"	"B_AERMN_HYDR_HYDR"
"A.IRA"	"B_SCCHRM_IRQN"
"A.ISR"	"B_AMYCS_ISRL"
"A.JAN"	"B_AERMN_JAND"
"A.JOH"	"B_ACNTB_JHNS"
"A.JUN"	"B_ACNTB_JUNI"
"A.LAT"	"B_AMDRA_LATN"
"A.LIG"	"B_ACTNB_LGNR"
"A.LIL"	"B_ACTNB_LGNR"
"A.LWO"	"B_ACNTB_LWFF"
"A.MAD"	"B_AMDRA_MADR"
"A.MEY"	"B_SCHAL_MEYR"
"A.MUL"	"B_ACDPH_MLTV"
"A.NAE"	"B_AMYCS_NSLN"
"A.NID"	"F_ASPRG_NDLN"
"A.NIG"	"F_ASPRG_NIGR"
"A.NIT"	"B_ARCBC_NTRF"
"A.ODL"	"B_SCHAL_ODNT"
"A.PAL"	"B_ACHLP_PALM"
"A.PEL"	"B_AMDRA_PLLT"
"A.PIE"	"B_ACHRMB_PCHD"
"A.PLE"	"B_ACTNB_PLRP"
"A.PRO"	"B_ARACHN_PRPN"
"A.PYO"	"B_TRPRL_PYGN"
"A.RAD"	"B_AGRBCT_RDBC"
"A.RADR"	"B_ACNTB_RDRS"
"A.SAL"	"B_AERMN_SLMN_SLMN"
"A.SCH"	"B_AERMN_SCHB"
"A.SEM"	"B_ACTNB_SMNS"
"A.SOB"	"B_AERMN_SOBR"
"A.TEM"	"B_ACDVR_TMPR"
"A.TER"	"F_ASPRG_TERRS"
"A.TRO"	"B_AERMN_ENTR"
"A.URE"	"B_ACTNB_UREA"
"A.VER"	"B_AERMN_VERN"
"A.VIR"	"B_AERCC_VRDN"
"A.VIS"	"B_AMYCS_VSCS"
"A.XYL"	"B_ACHRMB_XYLS"
"A10.SP"	"B_ACNTB"
"AACTIN"	"B_AGGRG_ACTN"
"AAD"	"B_ANRCC_DGNR"
"AAL"	"F_ALTRN_RNTA"
"AAM"	"B_ACTNBC"
"AAN"	"B_ACNTB_VNTN"
"AANSPP"	"B_ACNTB"
"AAP"	"B_ANPLS_PHGC"
"AAS"	"B_ANPLS"
"AAT"	"B_AMYCS_NEUI_ANTR"
"ABA"	"B_ACNTB_BMNN"
"ABE"	"B_AMYCS"
"ABESPP"	"B_AMYCS"
"ABI"	"B_ABTRP"
"ABI.SP"	"B_ABTRP"
"ABIADI"	"B_GRNLC_ADCN"
"ABIDEF"	"B_ABTRP_DFCT"
"ABIPAR"	"B_ABTRP"
"ABISPP"	"B_ABTRP"
"ABL"	"F_ADRMA_BRLL"
"ABO"	"B_AMYCS_BOVS"
"ABR"	"AN_ANCYL_BRZL"
"ABS"	"F_ABSID"
"ABS.SP"	"F_ABSID"
"ABSSPP"	"F_ABSID"
"ABU"	"B_ARCBC_BTZL"
"ABX"	"B_ACNTB_BMNN-C"
"ABY"	"B_ACNTB_BYLY"
"AC-"	"B_ACNTB"
"AC.SUI"	"B_ACTNB_SUIS"
"AC/PA"	"B_ACTNB_PLRP"
"AC3.SP"	"B_ACNTB"
"AC6.SP"	"B_ACNTB"
"AC9.SP"	"B_ACNTB"
"ACA"	"B_ACNTB_CLCC"
"ACASPP"	"P_ACNTH"
"ACB"	"B_ACTNB"
"ACB.SP"	"B_ACTNBC"
"ACBACT"	"B_AGGRG_ACTN"
"ACBCAP"	"B_ACTNB_CPSL"
"ACBEQU"	"B_ACTNB_EQUL"
"ACBHOM"	"B_ACTNB_HMNS"
"ACBLIG"	"B_ACTNB_LGNR"
"ACBSEM"	"B_ACTNB_SMNS"
"ACBSPP"	"B_ACTNB"
"ACBSUI"	"B_ACTNB_SUIS"
"ACBURE"	"B_ACTNB"
"ACC"	"F_NNNZZ_CRNC"
